Student_1;21735531;male;medium;bad;medium;2;24;24;1;0;0;good
Student_2;7193564;male;good;?;bad;3;19;19;0;1;0;medium
Student_3;15058752;female;good;medium;medium;7;23;23;0;0;1;medium
Student_4;90260850;female;bad;good;good;11;23;23;1;0;0;medium
Student_5;70603990;female;bad;medium;good;0;19;19;0;1;0;medium
Student_6;94277922;female;bad;good;bad;16;19;19;1;0;0;medium
Student_7;91129509;male;good;good;good;16;22;22;0;1;0;medium
Student_8;18975554;male;good;medium;good;18;19;19;0;1;0;bad
Student_9;11989478;male;medium;good;medium;10;21;21;1;0;0;medium
Student_10;26883293;female;bad;bad;good;7;19;19;0;0;1;bad
Student_11;51324090;female;bad;bad;bad;17;20;20;0;1;0;bad
Student_12;63463072;female;medium;bad;good;7;22;22;0;1;0;bad
Student_13;72357623;female;good;good;bad;8;18;18;1;0;0;medium
Student_14;46252640;female;bad;medium;medium;12;21;21;0;0;1;medium
Student_15;96211873;male;medium;bad;medium;5;21;21;0;1;0;medium
Student_16;82903577;male;medium;medium;bad;14;21;21;1;0;0;bad
Student_17;9603997;female;good;medium;bad;19;22;22;0;0;1;medium
Student_18;57834741;male;bad;medium;good;7;21;21;0;0;1;medium
Student_19;66525585;female;medium;good;bad;19;24;24;1;0;0;medium
Student_20;12509767;male;bad;good;medium;5;19;19;0;0;1;medium
Student_21;89725499;male;bad;bad;good;20;21;21;1;0;0;bad
Student_22;7053267;female;bad;medium;medium;5;22;22;1;0;0;medium
Student_23;20102469;male;medium;?;bad;5;22;22;0;1;0;medium
Student_24;30442143;female;good;good;medium;14;23;23;0;0;1;medium
Student_25;32294580;male;good;bad;good;10;23;23;0;1;0;medium
Student_26;12708355;female;medium;good;medium;20;18;18;0;0;1;medium
Student_27;74228238;female;bad;bad;good;0;23;23;0;1;0;bad
Student_28;80303623;male;good;bad;good;15;21;21;0;1;0;bad
Student_29;15642819;female;medium;medium;medium;3;22;22;0;1;0;medium
Student_30;44535202;female;good;good;bad;11;20;20;1;0;0;medium
Student_31;94418883;female;bad;bad;good;5;22;22;1;0;0;bad
Student_32;63181833;male;medium;good;good;19;20;20;0;0;1;medium
Student_33;10799798;male;good;medium;bad;15;20;20;1;0;0;bad
Student_34;28768239;male;medium;medium;bad;12;21;21;0;1;0;bad
Student_35;47095387;female;medium;good;medium;6;23;23;1;0;0;good
Student_36;44740630;female;good;bad;good;3;21;21;0;1;0;bad
Student_37;18071022;male;medium;bad;medium;6;21;21;0;1;0;medium
Student_38;37040537;male;medium;good;good;15;24;24;0;0;1;medium
Student_39;36199266;male;good;bad;medium;17;21;21;0;1;0;bad
Student_40;368600;male;medium;good;medium;4;20;20;0;0;1;good
Student_41;34387083;male;bad;bad;medium;20;21;21;0;0;1;bad
Student_42;85030153;female;bad;medium;medium;19;21;21;0;0;1;medium
Student_43;67665121;female;bad;good;good;1;20;20;0;1;0;medium
Student_44;59587038;male;good;bad;bad;2;23;23;1;0;0;medium
Student_45;6629651;female;medium;good;good;9;18;18;0;1;0;medium
Student_46;37457022;female;good;medium;bad;4;20;20;0;1;0;medium
Student_47;90615554;female;medium;medium;bad;3;19;19;1;0;0;medium
Student_48;86152872;male;good;medium;bad;1;20;20;0;0;1;medium
Student_49;72883498;female;medium;good;medium;18;20;20;0;1;0;medium
Student_50;86945887;male;bad;bad;medium;20;23;23;1;0;0;bad
Student_51;14876158;female;bad;good;bad;20;24;24;0;1;0;medium
Student_52;88301678;male;medium;good;medium;13;18;18;0;1;0;medium
Student_53;81643832;male;medium;bad;medium;0;19;19;1;0;0;good
Student_54;2407478;male;bad;good;good;10;19;19;1;0;0;medium
Student_55;38931508;male;medium;good;bad;11;23;23;1;0;0;medium
Student_56;81787307;male;medium;bad;medium;13;21;21;0;1;0;bad
Student_57;48024756;male;medium;bad;medium;14;25;25;0;1;0;bad
Student_58;26105440;female;medium;bad;bad;4;23;23;0;0;1;bad
Student_59;90358541;male;medium;medium;medium;10;20;20;0;1;0;medium
Student_60;67952786;male;good;bad;medium;6;19;19;1;0;0;medium
Student_61;35008421;female;good;good;good;7;24;24;0;1;0;good
Student_62;65876941;female;good;good;medium;3;25;25;1;0;0;good
Student_63;95116681;female;bad;bad;medium;1;22;22;0;0;1;bad
Student_64;9015878;female;good;bad;bad;10;20;20;0;0;1;bad
Student_65;12952614;female;bad;medium;good;11;20;20;0;1;0;medium
Student_66;42562488;male;medium;bad;good;12;18;18;0;1;0;bad
Student_67;14832200;female;good;good;good;3;22;22;1;0;0;good
Student_68;5345210;male;good;good;good;9;19;19;0;1;0;medium
Student_69;40038652;male;?;medium;bad;16;19;19;0;0;1;bad
Student_70;1361482;male;bad;medium;medium;6;21;21;0;1;0;medium
Student_71;90452936;male;good;good;bad;10;19;19;0;0;1;medium
Student_72;5051970;female;good;good;good;3;21;21;0;0;1;good
Student_73;41210828;male;medium;good;medium;3;22;22;0;0;1;good
Student_74;26674284;male;medium;bad;bad;18;19;19;0;1;0;bad
Student_75;65641246;female;medium;medium;good;20;21;21;0;1;0;medium
Student_76;47814672;female;bad;good;medium;19;21;21;1;0;0;medium
Student_77;75000013;male;bad;medium;good;2;20;20;0;1;0;medium
Student_78;59310282;male;bad;medium;bad;3;20;20;0;1;0;medium
Student_79;59354473;male;good;medium;bad;0;20;20;1;0;0;medium
Student_80;64311998;male;good;bad;good;16;20;20;0;1;0;bad
Student_81;43008725;female;bad;good;medium;15;20;20;0;1;0;medium
Student_82;90515285;female;good;medium;bad;4;19;19;1;0;0;medium
Student_83;39775375;male;bad;good;good;7;24;24;0;1;0;medium
Student_84;38830358;female;good;medium;bad;7;21;21;0;1;0;medium
Student_85;36423328;female;good;good;medium;11;21;21;0;0;1;medium
Student_86;93881482;male;medium;good;good;17;20;20;1;0;0;medium
Student_87;14574989;male;medium;medium;good;6;18;18;0;1;0;medium
Student_88;53040961;female;bad;good;medium;7;24;24;1;0;0;medium
Student_89;19091849;female;good;medium;good;15;22;22;0;0;1;medium
